rows=14
columns=12
Horizontal
#,#,#,#,#,#,#,#,#,#,#,#
#,16,7,9,23,9,6,8,12,1,3,8
37,8,3,1,9,7,5,4,7,2,1,4
22,9,1,2,7,3,#,26,8,4,5,9
#,17,9,8,#,#,17,8,9,8,2,6
33,9,8,6,2,1,3,4,17,4,6,7
13,7,6,7,4,2,1,4,3,1,#,#
#,6,2,1,3,#,#,7,1,2,4,#
#,#,3,2,1,7,1,2,4,16,7,9
12,4,3,5,34,4,3,1,2,7,9,8
8,6,2,3,1,2,#,#,17,9,8,#
28,7,4,9,8,#,22,3,7,1,2,9
10,3,1,6,37,5,4,7,9,3,1,8
23,9,6,8,23,6,8,9,14,8,6,#
Vertical
#,#,36,26,#,19,11,12,#,7,17,34
#,17,7,9,16,9,6,8,#,1,3,8
#,8,3,1,9,7,5,4,17,2,1,4
#,9,1,2,7,3,#,12,8,4,5,9
#,16,9,8,10,3,4,8,9,7,2,6
#,9,8,6,2,1,3,4,10,4,6,7
#,7,6,8,4,2,1,#,3,1,37,#
#,#,2,1,3,#,4,3,1,2,4,17
#,29,16,2,1,6,1,2,4,28,7,9
#,4,3,5,9,4,3,1,2,7,9,8
#,6,2,23,1,2,#,19,16,9,8,17
#,7,4,9,8,11,12,3,7,1,2,9
#,3,1,6,#,5,4,7,9,3,1,8
#,9,6,8,#,6,8,9,#,8,6,#
