rows=14
columns=12
Horizontal
#,#,#,#,#,#,#,#,#,#,#,#
#,#,23,9,8,6,8,3,5,12,5,7
34,8,6,7,9,4,23,2,1,3,9,8
16,9,7,16,7,9,#,19,2,1,7,9
#,34,8,9,5,1,2,6,3,14,8,6
24,8,9,7,28,3,1,9,8,7,#,#
6,2,4,7,1,2,4,#,7,1,2,4
3,1,2,8,3,5,4,3,1,4,3,1
9,3,5,1,#,11,2,4,5,3,1,2
#,#,21,2,9,6,3,1,21,9,7,5
3,2,1,36,7,4,1,2,5,8,9,#
21,9,8,3,1,#,12,5,7,17,8,9
22,7,9,1,2,3,35,6,8,9,5,7
4,1,3,6,5,1,24,8,9,7,#,#
Vertical
#,#,#,16,29,30,#,5,19,#,29,30
#,17,41,9,8,6,#,3,5,4,5,7
#,8,6,7,9,4,#,2,1,3,9,8
#,9,7,16,7,9,7,15,2,1,7,9
#,14,8,9,5,1,2,6,3,8,8,6
#,8,9,7,4,3,1,9,8,7,35,12
#,2,4,#,1,2,4,29,6,1,2,4
#,1,2,3,3,5,6,3,1,#,3,1
#,3,5,1,24,10,2,4,5,17,1,2
#,19,21,2,9,6,3,1,29,9,7,5
#,2,1,4,7,4,1,2,5,8,9,16
#,9,8,3,1,4,#,5,7,16,8,9
#,7,9,1,2,3,#,6,8,9,5,7
#,1,3,#,5,1,#,8,9,7,#,#
