rows=14
columns=12
Horizontal
#,#,#,#,#,#,#,#,#,#,#,#
#,4,1,3,6,3,2,1,23,9,8,6
17,5,3,9,38,2,1,5,6,7,9,8
15,1,2,4,3,5,16,9,7,16,7,9
#,#,3,2,1,17,9,8,15,3,5,7
16,7,9,25,4,1,5,7,6,2,#,#
23,6,8,9,5,3,2,21,8,4,9,#
6,1,2,3,7,2,1,4,23,6,8,9
#,9,1,5,3,4,3,1,6,1,2,3
#,#,35,8,9,7,4,2,5,6,1,5
18,5,7,6,17,9,8,3,1,2,#,#
14,8,6,17,9,8,20,5,3,1,4,7
38,9,8,6,7,5,1,2,23,6,8,9
24,7,9,8,6,1,2,3,13,4,9,#
Vertical
#,#,6,18,#,10,3,30,#,16,29,30
#,6,1,3,#,3,2,1,13,9,8,6
#,5,3,9,8,2,1,5,6,7,9,8
#,1,2,4,3,5,32,9,7,16,7,9
#,14,20,2,1,6,9,8,14,3,5,7
#,7,9,31,4,1,5,7,6,2,20,#
#,6,8,9,#,3,2,7,8,4,9,17
#,1,2,3,12,2,1,4,#,6,8,9
#,#,1,5,3,30,3,1,9,1,2,3
#,29,30,8,9,7,4,2,5,13,1,5
#,5,7,6,16,9,8,10,1,2,21,16
#,8,6,14,9,8,3,5,3,1,4,7
#,9,8,6,7,5,1,2,#,6,8,9
#,7,9,8,#,1,2,3,#,4,9,#
