rows=14
columns=12
Horizontal
#,#,#,#,#,#,#,#,#,#,#,#
23,9,6,8,19,3,7,9,7,3,4,#
24,7,8,9,9,1,3,5,10,1,2,7
#,16,9,7,#,6,1,2,3,7,1,6
11,2,1,5,3,31,2,4,1,8,7,9
4,1,3,8,2,1,5,#,23,6,9,8
#,3,2,1,7,3,4,16,9,7,#,#
#,8,4,3,1,#,#,22,8,9,5,#
#,#,6,4,2,6,5,1,4,1,3,#
24,9,8,7,#,8,4,3,1,7,4,3
30,8,6,9,1,4,2,11,3,5,2,1
16,7,9,6,3,2,1,#,8,7,1,#
8,5,1,2,9,5,3,1,24,9,7,8
#,4,3,1,19,9,7,3,23,8,9,6
Vertical
#,16,33,29,#,4,22,20,#,4,23,#
#,9,6,8,#,3,7,9,#,3,4,30
#,7,8,9,#,1,3,5,4,1,2,7
#,3,9,7,5,#,1,2,3,31,1,6
#,2,1,5,3,4,2,4,1,8,7,9
#,1,3,24,2,1,5,#,17,6,9,8
#,#,2,1,3,3,4,#,9,7,31,#
#,#,4,3,1,#,22,4,8,9,5,#
#,29,27,4,2,#,5,1,4,1,3,4
#,9,8,7,4,20,4,3,1,29,4,3
#,8,6,9,1,4,2,#,3,5,2,1
#,7,9,3,3,2,1,4,#,7,1,14
#,5,1,2,#,5,3,1,#,9,7,8
#,#,3,1,#,9,7,3,#,8,9,6
